gate_id,gate_name,dimension,application,journey_or_endpoint,metric,threshold,threshold_operator,blocking,pipeline_stage,tool,evidence_artifact,rationale
NFR-001,Requirement quality mean score,REQUIREMENT_QUALITY,ALL,changed requirements in the pull request,mean requirement qualityScore,70,GTE,YES,requirement-quality-gate,RequirementQualityAgent,evidence/WF02/requirement_quality_report.md,"An unclear requirement cannot be tested; blocking here prevents defective specifications reaching build"
NFR-002,No untestable acceptance criteria,REQUIREMENT_QUALITY,ALL,changed requirements in the pull request,count of UNTESTABLE criteria,0,EQ,YES,requirement-quality-gate,RequirementQualityAgent,evidence/WF02/requirement_quality_report.md,"An untestable criterion guarantees an untested behaviour"
NFR-003,P1 functional pass rate,FUNCTIONAL,ALL,all P1 test cases in the selected set,pass rate percent,100,GTE,YES,api-automation and ui-automation,JUnit 5,target/surefire-reports,"P1 cases guard money, clinical records and security boundaries"
NFR-004,Overall functional pass rate,FUNCTIONAL,ALL,all selected test cases,pass rate percent,98,GTE,YES,ui-automation,JUnit 5,target/surefire-reports,"Allows a small tolerance for non-P1 noise while still blocking regressions"
NFR-005,No newly introduced flaky tests,FUNCTIONAL,ALL,tests added or modified in the pull request,count of tests with differing results across 3 runs,0,EQ,YES,ui-automation,JUnit 5 repeat run,evidence/WF03/flakiness_report.md,"A flaky test is worse than no test because it trains the team to ignore red builds"
NFR-006,Line coverage on changed classes,COVERAGE,ALL,classes touched by the pull request,line coverage percent,80,GTE,YES,build-and-unit,JaCoCo,target/site/jacoco,"Coverage is measured only where the change is, not repository-wide"
NFR-007,API contract conformance,FUNCTIONAL,PetClinic,all exercised REST endpoints,count of JSON schema violations against the OpenAPI specification,0,EQ,YES,api-automation,REST Assured and JSON schema validator,target/surefire-reports,"Silent contract drift breaks consumers without failing any functional test"
NFR-008,Owner list read latency,PERFORMANCE,PetClinic,GET /petclinic/api/owners,p95 response time milliseconds,1200,LTE,YES,performance-smoke,Apache JMeter,evidence/WF12/jmeter_summary.csv,"Clinicians wait on this read; QEC-114 sets the target"
NFR-009,Owner list error rate under load,PERFORMANCE,PetClinic,GET /petclinic/api/owners,error rate percent,1,LTE,YES,performance-smoke,Apache JMeter,evidence/WF12/jmeter_summary.csv,"Errors under normal concurrency indicate resource exhaustion"
NFR-010,Owner list throughput,PERFORMANCE,PetClinic,GET /petclinic/api/owners,requests per second,40,GTE,YES,performance-smoke,Apache JMeter,evidence/WF12/jmeter_summary.csv,"Sustains the practice peak arrival rate"
NFR-011,Visit write latency,PERFORMANCE,PetClinic,POST /petclinic/api/visits,p95 response time milliseconds,1500,LTE,WARN,performance-smoke,Apache JMeter,evidence/WF12/jmeter_summary.csv,"Write path is lower volume; monitored rather than blocking"
NFR-012,Steady state holds after database pause,RESILIENCE,PetClinic,dockerised local stack,steady-state hypothesis satisfied after fault,true,EQ,YES,resilience-experiment,Chaos Toolkit,evidence/WF13/chaos_journal.json,"Recovery is the actual requirement, not the absence of faults"
NFR-013,No record loss after fault injection,RESILIENCE,PetClinic,visit and owner tables,count of committed records lost,0,EQ,YES,resilience-experiment,Chaos Toolkit and SQL invariant check,evidence/WF13/integrity_check.txt,"A lost clinical record is the worst outcome in this domain"
NFR-014,No partially written record after fault,RESILIENCE,PetClinic,visit table,count of rows violating the not-null invariant,0,EQ,YES,resilience-experiment,SQL invariant check,evidence/WF13/integrity_check.txt,"Directly derived from defect QEC-431"
NFR-015,Recovery time objective,RESILIENCE,PetClinic,readiness endpoint,seconds until readiness returns healthy after fault ends,60,LTE,YES,resilience-experiment,Chaos Toolkit probe,evidence/WF13/chaos_journal.json,"Bounded recovery is what makes a fault survivable"
NFR-016,Network latency tolerance,RESILIENCE,PetClinic,dockerised local stack,error rate percent while 300ms latency is injected,5,LTE,WARN,resilience-experiment,Pumba,evidence/WF13/pumba_run.log,"Degraded but serving is acceptable; failing is not"
NFR-017,Critical accessibility violations,ACCESSIBILITY,SauceDemo,login catalogue basket checkout overview confirmation,count of axe-core violations with impact critical,0,EQ,YES,accessibility-scan,axe-core,evidence/WF14/axe_report.json,"WCAG 2.2 AA obligation on a consumer journey; QEC-113"
NFR-018,Serious accessibility violations,ACCESSIBILITY,SauceDemo,login catalogue basket checkout overview confirmation,count of axe-core violations with impact serious,5,LTE,WARN,accessibility-scan,axe-core,evidence/WF14/axe_report.json,"Tracked and must not increase build over build"
NFR-019,Keyboard operability of checkout,ACCESSIBILITY,SauceDemo,full checkout journey,journey completable using keyboard only,true,EQ,YES,accessibility-scan,Playwright keyboard walk,evidence/WF14/keyboard_walk_report.md,"axe cannot detect a keyboard trap; an explicit walk is required"
NFR-020,Form control labelling,ACCESSIBILITY,SauceDemo,checkout information form,count of controls without an accessible name,0,EQ,YES,accessibility-scan,axe-core,evidence/WF14/axe_report.json,"Derived from defect QEC-418"
NFR-021,Text contrast ratio,ACCESSIBILITY,SauceDemo,all scanned pages,minimum contrast ratio for body text,4.5,GTE,WARN,accessibility-scan,axe-core,evidence/WF14/axe_report.json,"Reported for remediation; not blocking in the capstone baseline"
NFR-022,Accessibility baseline of the reference non-conformant page,ACCESSIBILITY,W3C-BAD,before demo home page,count of axe-core violations detected,10,GTE,YES,accessibility-scan,axe-core,evidence/WF14/axe_baseline_bad.json,"Proves the scanner genuinely detects faults rather than always reporting clean"
NFR-023,Open S1 defects against the release,FUNCTIONAL,ALL,defects linked to the release,count of open defects with severity S1,0,EQ,YES,release-gate,ReleaseGateAgent,evidence/WF08/release_gate_verdict.md,"No release proceeds with a known unresolved integrity defect"
